Department,Salary,Year
Financial Services,"88,445.63",2011
Engineering Services,"79,137.53",2011
Fire and Rescue Services,"81,543.49",2011
Fire and Rescue Services,"97,372.94",2011
Engineering Services,"105,972.02",2011
Community Services,"85,888.74",2011
Engineering Services,"88,386.56",2011
Engineering Services,"80,259.20",2011
Community Services,"84,857.54",2011
Financial Services,"87,426.33",2011
Financial Services,"83,938.12",2011
Fire and Rescue Services,"89,323.35",2011
Fire and Rescue Services,"75,101.64",2011
Community Services,"81,006.74",2011
Vancouver Public Library Board,"79,297.40",2011
Fire and Rescue Services,"95,252.21",2011
Community Services,"85,936.73",2011
Engineering Services,"78,965.56",2011
Board of Parks & Recreation,"76,567.17",2011
Community Services,"84,847.72",2011
Community Services,"93,169.92",2011
Community Services,"86,447.27",2011
Community Services,"85,936.71",2011
Fire and Rescue Services,"94,472.90",2011
Fire and Rescue Services,"98,278.18",2011
Fire and Rescue Services,"85,298.53",2011
Fire and Rescue Services,"189,823.39",2011
Fire and Rescue Services,"88,374.16",2011
Fire and Rescue Services,"80,397.49",2011
Financial Services,"94,170.69",2011
Financial Services,"95,713.89",2011
Fire and Rescue Services,"82,583.75",2011
Fire and Rescue Services,"95,489.11",2011
Fire and Rescue Services,"77,055.68",2011
Community Services,"93,844.63",2011
Community Services,"245,865.16",2011
Engineering Services,"108,297.62",2011
Board of Parks & Recreation,"93,036.56",2011
Community Services,"107,670.86",2011
Financial Services,"111,205.16",2011
Community Services,"116,433.01",2011
Community Services,"93,548.40",2011
Vancouver Public Library Board,"107,584.26",2011
Fire and Rescue Services,"79,588.29",2011
Fire and Rescue Services,"77,244.90",2011
Fire and Rescue Services,"80,489.61",2011
Engineering Services,"78,557.18",2011
Engineering Services,"106,374.06",2011
Human Resource Services,"130,840.84",2011
Fire and Rescue Services,"81,732.50",2011
Community Services,"81,087.49",2011
Engineering Services,"97,054.01",2011
Engineering Services,"107,811.93",2011
Board of Parks & Recreation,"79,630.08",2011
Financial Services,"120,134.50",2011
Fire and Rescue Services,"79,323.48",2011
Fire and Rescue Services,"89,166.02",2011
Engineering Services,"94,153.58",2011
Fire and Rescue Services,"82,993.57",2011
Fire and Rescue Services,"86,679.12",2011
Community Services,"107,803.38",2011
Fire and Rescue Services,"85,137.93",2011
Community Services,"129,557.12",2011
Vancouver Public Library Board,"107,443.70",2011
Vancouver Public Library Board,"80,869.99",2011
Business Planning & Services,"98,735.73",2011
Financial Services,"99,271.78",2011
Fire and Rescue Services,"77,020.56",2011
Board of Parks & Recreation,"82,585.49",2011
Fire and Rescue Services,"95,089.31",2011
Community Services,"92,937.08",2011
Fire and Rescue Services,"80,849.86",2011
Engineering Services,"77,308.73",2011
Vancouver Public Library Board,"104,205.46",2011
Financial Services,"111,449.24",2011
Fire and Rescue Services,"93,215.93",2011
Fire and Rescue Services,"94,711.67",2011
Engineering Services,"108,473.88",2011
Community Services,"79,551.04",2011
City Clerk's Office,"120,717.39",2011
Fire and Rescue Services,"87,129.24",2011
Engineering Services,"83,011.11",2011
Financial Services,"94,143.08",2011
Human Resource Services,"115,982.61",2011
Community Services,"79,545.40",2011
Community Services,"109,412.17",2011
Engineering Services,"103,484.56",2011
Engineering Services,"75,036.59",2011
Engineering Services,"106,888.10",2011
Fire and Rescue Services,"97,029.99",2011
Fire and Rescue Services,"83,354.84",2011
Fire and Rescue Services,"93,486.01",2011
Financial Services,"95,112.69",2011
Community Services,"93,141.34",2011
Fire and Rescue Services,"81,667.84",2011
Human Resource Services,"106,062.02",2011
Community Services,"80,551.93",2011
Engineering Services,"84,889.14",2011
Fire and Rescue Services,"90,777.88",2011
Fire and Rescue Services,"88,178.97",2011
Community Services,"108,318.67",2011
Fire and Rescue Services,"79,035.28",2011
Fire and Rescue Services,"91,835.86",2011
Financial Services,"122,809.74",2011
Engineering Services,"79,747.33",2011
Fire and Rescue Services,"81,076.68",2011
Financial Services,"94,143.08",2011
Engineering Services,"79,911.07",2011
Engineering Services,"85,255.22",2011
Fire and Rescue Services,"75,620.48",2011
Human Resource Services,"94,143.07",2011
Fire and Rescue Services,"79,144.58",2011
Fire and Rescue Services,"78,562.58",2011
Engineering Services,"82,714.41",2011
Community Services,"79,545.40",2011
Fire and Rescue Services,"82,679.97",2011
Community Services,"89,126.30",2011
Board of Parks & Recreation,"102,350.42",2011
Fire and Rescue Services,"83,271.46",2011
Fire and Rescue Services,"79,582.32",2011
Engineering Services,"83,550.35",2011
Community Services,"79,901.34",2011
Fire and Rescue Services,"93,192.46",2011
Community Services,"129,557.12",2011
Community Services,"86,555.27",2011
Board of Parks & Recreation,"157,401.76",2011
Fire and Rescue Services,"79,742.27",2011
Fire and Rescue Services,"80,934.36",2011
Fire and Rescue Services,"113,596.41",2011
Law Department,"148,626.31",2011
Fire and Rescue Services,"83,255.07",2011
Fire and Rescue Services,"79,715.69",2011
Fire and Rescue Services,"89,357.85",2011
Community Services,"80,249.39",2011
Financial Services,"89,432.33",2011
Human Resource Services,"177,527.36",2011
Financial Services,"105,573.86",2011
Fire and Rescue Services,"80,126.04",2011
Community Services,"93,477.04",2011
Fire and Rescue Services,"86,000.07",2011
Engineering Services,"129,557.12",2011
Community Services,"111,002.43",2011
Fire and Rescue Services,"79,131.58",2011
Engineering Services,"102,218.68",2011
Engineering Services,"79,637.24",2011
Fire and Rescue Services,"79,317.14",2011
Fire and Rescue Services,"77,316.36",2011
Fire and Rescue Services,"89,343.63",2011
Fire and Rescue Services,"75,655.30",2011
Community Services,"94,603.98",2011
Community Services,"152,392.24",2011
Business Planning & Services,"79,987.93",2011
Fire and Rescue Services,"79,286.61",2011
Community Services,"99,879.07",2011
Board of Parks & Recreation,"89,816.43",2011
Engineering Services,"101,975.81",2011
Community Services,"83,762.71",2011
Community Services,"104,387.96",2011
Business Planning & Services,"79,099.78",2011
Community Services,"83,566.11",2011
Business Planning & Services,"83,784.79",2011
Engineering Services,"94,446.44",2011
Financial Services,"111,205.16",2011
Fire and Rescue Services,"85,666.03",2011
Fire and Rescue Services,"79,411.82",2011
Fire and Rescue Services,"79,842.46",2011
Fire and Rescue Services,"81,592.54",2011
Fire and Rescue Services,"78,074.62",2011
EEO Program,"88,002.49",2011
Human Resource Services,"93,126.68",2011
Fire and Rescue Services,"81,610.38",2011
Fire and Rescue Services,"89,651.90",2011
Fire and Rescue Services,"80,509.72",2011
Human Resource Services,"105,972.02",2011
Fire and Rescue Services,"87,269.81",2011
Office of the City Manager,"85,959.41",2011
Engineering Services,"84,314.54",2011
Fire and Rescue Services,"79,278.02",2011
Financial Services,"108,225.39",2011
Fire and Rescue Services,"97,431.87",2011
Fire and Rescue Services,"79,190.94",2011
Board of Parks & Recreation,"118,175.82",2011
Board of Parks & Recreation,"93,035.12",2011
Board of Parks & Recreation,"112,592.42",2011
Engineering Services,"111,294.77",2011
Human Resource Services,"80,313.99",2011
Community Services,"94,132.89",2011
Engineering Services,"102,441.22",2011
Fire and Rescue Services,"95,587.65",2011
Fire and Rescue Services,"88,247.32",2011
Financial Services,"94,143.16",2011
Fire and Rescue Services,"109,003.45",2011
Board of Parks & Recreation,"76,934.67",2011
Law Department,"168,203.61",2011
Fire and Rescue Services,"80,080.44",2011
Human Resource Services,"106,275.33",2011
Community Services,"85,828.72",2011
Human Resource Services,"87,313.87",2011
Fire and Rescue Services,"79,215.57",2011
Fire and Rescue Services,"78,695.50",2011
Financial Services,"80,614.50",2011
Engineering Services,"77,539.71",2011
Vancouver Public Library Board,"106,363.32",2011
Fire and Rescue Services,"97,069.98",2011
Financial Services,"81,188.03",2011
Fire and Rescue Services,"82,820.11",2011
Vancouver Public Library Board,"76,868.92",2011
Fire and Rescue Services,"80,924.34",2011
Fire and Rescue Services,"126,915.39",2011
Engineering Services,"78,544.69",2011
Engineering Services,"78,065.80",2011
Board of Parks & Recreation,"96,677.40",2011
Board of Parks & Recreation,"91,171.92",2011
Community Services,"85,936.72",2011
Engineering Services,"111,205.16",2011
Community Services,"107,581.43",2011
Engineering Services,"87,679.67",2011
Fire and Rescue Services,"97,578.88",2011
Law Department,"165,031.11",2011
Engineering Services,"105,370.16",2011
Fire and Rescue Services,"101,224.19",2011
Financial Services,"94,545.13",2011
Engineering Services,"80,268.41",2011
Community Services,"81,541.79",2011
Office of the City Manager,"107,212.26",2011
Engineering Services,"78,830.86",2011
Fire and Rescue Services,"75,776.53",2011
Engineering Services,"82,233.65",2011
Board of Parks & Recreation,"75,170.04",2011
Fire and Rescue Services,"79,899.20",2011
Fire and Rescue Services,"91,286.16",2011
Community Services,"118,777.43",2011
Fire and Rescue Services,"82,782.76",2011
Engineering Services,"77,839.35",2011
Vancouver Public Library Board,"96,181.31",2011
Fire and Rescue Services,"79,764.67",2011
City Clerk's Office,"121,740.09",2011
Fire and Rescue Services,"94,566.50",2011
Community Services,"117,235.32",2011
Business Planning & Services,"75,453.50",2011
Community Services,"82,135.61",2011
Law Department,"122,269.45",2011
Financial Services,"120,000.10",2011
Fire and Rescue Services,"136,344.10",2011
Fire and Rescue Services,"78,848.02",2011
Fire and Rescue Services,"77,648.76",2011
Fire and Rescue Services,"84,495.64",2011
Fire and Rescue Services,"80,350.06",2011
Fire and Rescue Services,"79,554.56",2011
Fire and Rescue Services,"78,963.06",2011
Fire and Rescue Services,"81,325.74",2011
Fire and Rescue Services,"78,423.08",2011
Engineering Services,"82,931.68",2011
Fire and Rescue Services,"80,068.12",2011
Financial Services,"111,658.72",2011
Fire and Rescue Services,"77,147.18",2011
Fire and Rescue Services,"96,495.84",2011
Fire and Rescue Services,"83,148.12",2011
Financial Services,"94,692.33",2011
Engineering Services,"76,618.12",2011
Community Services,"85,936.71",2011
Financial Services,"97,241.77",2011
Fire and Rescue Services,"83,509.29",2011
Fire and Rescue Services,"76,574.00",2011
Fire and Rescue Services,"75,974.02",2011
Fire and Rescue Services,"126,071.23",2011
Fire and Rescue Services,"80,955.54",2011
Engineering Services,"106,275.32",2011
Engineering Services,"130,199.10",2011
Engineering Services,"76,401.66",2011
Fire and Rescue Services,"95,018.30",2011
Fire and Rescue Services,"80,012.67",2011
Community Services,"120,403.85",2011
Community Services,"83,063.55",2011
Fire and Rescue Services,"83,349.36",2011
Community Services,"84,441.41",2011
Community Services,"133,784.76",2011
Board of Parks & Recreation,"98,797.38",2011
Fire and Rescue Services,"79,737.88",2011
City Clerk's Office,"90,195.89",2011
Engineering Services,"77,022.44",2011
Engineering Services,"76,059.12",2011
Business Planning & Services,"120,331.74",2011
Vancouver Public Library Board,"79,480.98",2011
Engineering Services,"75,744.03",2011
Engineering Services,"79,184.50",2011
Engineering Services,"89,309.21",2011
Engineering Services,"81,000.31",2011
Engineering Services,"122,331.14",2011
Community Services,"164,467.95",2011
Fire and Rescue Services,"78,248.58",2011
Fire and Rescue Services,"85,108.89",2011
Board of Parks & Recreation,"75,143.45",2011
Fire and Rescue Services,"92,787.70",2011
Engineering Services,"77,217.06",2011
Fire and Rescue Services,"75,120.20",2011
Office of the City Manager,"120,220.10",2011
Financial Services,"93,727.37",2011
Engineering Services,"77,759.27",2011
Financial Services,"98,256.76",2011
Law Department,"152,124.05",2011
Fire and Rescue Services,"79,497.92",2011
Vancouver Public Library Board,"92,133.26",2011
Business Planning & Services,"85,135.20",2011
Fire and Rescue Services,"87,235.79",2011
Board of Parks & Recreation,"115,217.30",2011
Financial Services,"94,143.07",2011
Fire and Rescue Services,"75,663.31",2011
Fire and Rescue Services,"79,511.14",2011
Engineering Services,"83,683.97",2011
Engineering Services,"108,865.90",2011
Fire and Rescue Services,"77,788.92",2011
Engineering Services,"79,750.12",2011
Engineering Services,"106,287.42",2011
Community Services,"106,727.95",2011
Engineering Services,"76,596.48",2011
Financial Services,"106,248.75",2011
Fire and Rescue Services,"79,120.98",2011
Community Services,"80,150.41",2011
Fire and Rescue Services,"100,496.98",2011
Fire and Rescue Services,"97,277.01",2011
Fire and Rescue Services,"96,620.06",2011
Fire and Rescue Services,"82,321.98",2011
Fire and Rescue Services,"90,051.65",2011
Fire and Rescue Services,"82,822.04",2011
Community Services,"90,055.06",2011
Vancouver Public Library Board,"86,023.62",2011
Engineering Services,"87,155.31",2011
Fire and Rescue Services,"91,964.55",2011
Board of Parks & Recreation,"111,205.16",2011
Human Resource Services,"81,188.03",2011
Fire and Rescue Services,"79,153.44",2011
Financial Services,"105,972.02",2011
Fire and Rescue Services,"115,644.94",2011
Community Services,"78,790.52",2011
Community Services,"86,278.12",2011
Engineering Services,"100,844.38",2011
Engineering Services,"94,092.84",2011
Fire and Rescue Services,"77,033.60",2011
Community Services,"101,795.35",2011
Engineering Services,"106,033.88",2011
Fire and Rescue Services,"81,654.86",2011
Engineering Services,"77,012.84",2011
